Symbol,Name,Weight,Industry,Shares Held,SPDR Fund
BMY,Bristol-Myers Squibb Company,3.909465,Pharmaceuticals,13117024,XLV
TMO,Thermo Fisher Scientific Inc.,3.67952,Life Sciences Tools & Services,2243760,XLV
LLY,Eli Lilly and Company,3.615323,Pharmaceuticals,4727741,XLV
MDT,Medtronic Plc,3.513048,Health Care Equipment & Supplies,7500211,XLV
ABBV,AbbVie Inc.,3.428362,Biotechnology,8274904,XLV
GILD,Gilead Sciences Inc.,3.301766,Biotechnology,7079229,XLV
DHR,Danaher Corporation,2.78924,Health Care Equipment & Supplies,3577165,XLV
CVS,CVS Health Corporation,2.482502,Health Care Providers & Services,7279690,XLV
AGN,Allergan plc,1.978695,Pharmaceuticals,1836884,XLV
BDX,Becton Dickinson and Company,1.949833,Health Care Equipment & Supplies,1513372,XLV
VRTX,Vertex Pharmaceuticals Incorporated,1.868962,Biotechnology,1438911,XLV
BIIB,Biogen Inc.,1.745833,Biotechnology,1009671,XLV
CI,Cigna Corporation,1.745622,Health Care Providers & Services,2089501,XLV
