Symbol,Name,Weight,Industry,Shares Held,SPDR Fund
HAS,Hasbro Inc.,0.392477,Leisure Products,683930,XLY
WYNN,Wynn Resorts Limited,0.330651,Hotels Restaurants & Leisure,519142,XLY
AAP,Advance Auto Parts Inc.,0.323298,Specialty Retail,372260,XLY
DRI,Darden Restaurants Inc.,0.299136,Hotels Restaurants & Leisure,658992,XLY
RCL,Royal Caribbean Cruises Ltd.,0.288117,Hotels Restaurants & Leisure,923819,XLY
CCL,Carnival Corporation,0.285805,Hotels Restaurants & Leisure,2152790,XLY
MGM,MGM Resorts International,0.28018,Hotels Restaurants & Leisure,2767761,XLY
PHM,PulteGroup Inc.,0.26871,Household Durables,1369128,XLY
BWA,BorgWarner Inc.,0.259659,Auto Components,1109701,XLY
LKQ,LKQ Corporation,0.253306,Distributors,1647189,XLY
WHR,Whirlpool Corporation,0.241177,Household Durables,339453,XLY
NWL,Newell Brands Inc,0.239051,Household Durables,2048101,XLY
MHK,Mohawk Industries Inc.,0.223925,Household Durables,319600,XLY
RL,Ralph Lauren Corporation Class A,0.193355,Textiles Apparel & Luxury Goods,267233,XLY
HBI,Hanesbrands Inc.,0.193127,Textiles Apparel & Luxury Goods,1943925,XLY
LEG,Leggett & Platt Incorporated,0.175792,Household Durables,707145,XLY
TPR,Tapestry Inc.,0.173588,Textiles Apparel & Luxury Goods,1483019,XLY
HRB,H&R Block Inc.,0.143726,Diversified Consumer Services,1049366,XLY
HOG,Harley-Davidson Inc.,0.140746,Automobiles,829321,XLY
PVH,PVH Corp.,0.128065,Textiles Apparel & Luxury Goods,398472,XLY
LB,L Brands Inc.,0.126619,Specialty Retail,1248080,XLY
NCLH,Norwegian Cruise Line Holdings Ltd.,0.122338,Hotels Restaurants & Leisure,1143530,XLY
KSS,Kohl's Corporation,0.121849,Multiline Retail,841388,XLY
JWN,Nordstrom Inc.,0.099441,Multiline Retail,575806,XLY
UAA,Under Armour Inc. Class A,0.090205,Textiles Apparel & Luxury Goods,1011598,XLY
M,Macy's Inc,0.088372,Multiline Retail,1660664,XLY
CPRI,Capri Holdings Limited,0.083137,Textiles Apparel & Luxury Goods,815032,XLY
UA,Under Armour Inc. Class C,0.082599,Textiles Apparel & Luxury Goods,1045664,XLY
GPS,Gap Inc.,0.079458,Specialty Retail,1143641,XLY
